source,target_cleaned,score,key_ingredient,seasonality,ingredient,accompaniment,avoid,target_raw,
achiote seeds,beef,1,,,,,,beef,
achiote seeds,chicken,1,,,,,,chicken,
achiote seeds,chile pepper,1,,,,,,chiles,
achiote seeds,citrus,1,,,,,,"citrus (e.g., sour orange)",
achiote seeds,duck,1,,,,,,"game birds (e.g., duck, quail)",
achiote seeds,fish,1,,,,,,fish,
achiote seeds,game birds,1,,,,,,"game birds (e.g., duck, quail)",
achiote seeds,garlic,1,,,,,,garlic,
achiote seeds,lobster,1,,,,,,"shellfish, e.g., lobster, shrimp",
achiote seeds,mexican cuisine,2,,,,,,"mexican cuisine, esp. yucatán oil",
achiote seeds,"mexican cuisine, yucatán oil",3,,,,,,"mexican cuisine, esp. yucatán oil",
achiote seeds,"orange, sour",1,,,,,,"citrus (e.g., sour orange)",
achiote seeds,pork,2,,,,,,pork,
achiote seeds,quail,1,,,,,,"game birds (e.g., duck, quail)",
achiote seeds,shellfish,1,,,,,,"shellfish, e.g., lobster, shrimp",
achiote seeds,shrimp,1,,,,,,shrimp,
afghan cuisine,almonds,1,,,,,,almonds,
afghan cuisine,almonds,1,,,,,,"nuts, e.g., almonds",
afghan cuisine,barley,1,,,,,,barley,
afghan cuisine,bread,2,,,,,,breads,
afghan cuisine,cardamom,1,,,,,,cardamom,
afghan cuisine,chile pepper,1,,,,,,chile pepper,
afghan cuisine,cinnamon,1,,,,,,cinnamon,
afghan cuisine,clove,1,,,,,,cloves,
afghan cuisine,coriander,1,,,,,,coriander,
afghan cuisine,cucumber,1,,,,,,cucumber,
afghan cuisine,cumin,1,,,,,,cumin,
afghan cuisine,dill,1,,,,,,dill,
afghan cuisine,fennel,1,,,,,,fennel,
afghan cuisine,fruit,1,,,,,,"fruits, esp. dried",
afghan cuisine,"fruit, dried",2,,,,,,"fruits, esp. dried",
afghan cuisine,ginger,1,,,,,,ginger,
afghan cuisine,grape,1,,,,,,grapes,
afghan cuisine,kebab,1,,,,,,kebabs,
afghan cuisine,lamb,1,,,,,,lamb,
afghan cuisine,mint,1,,,,,,mint,
afghan cuisine,mushroom,1,,,,,,mushrooms,
afghan cuisine,nuts,1,,,,,,"nuts, e.g., almonds",
afghan cuisine,pasta,2,,,,,,pasta,
afghan cuisine,"rice, basmati",2,,,,,,"rice, basmati",
afghan cuisine,sesame,1,,,,,,sesame,
afghan cuisine,tomato,1,,,,,,tomatoes and tomato sauce,
afghan cuisine,tomato sauce,1,,,,,,tomatoes and tomato sauce,
afghan cuisine,turmeric,1,,,,,,turmeric,
afghan cuisine,yogurt,2,,,,,,yogurt,
african cuisine,banana,2,,,,,,bananas,
african cuisine,bell pepper,1,,,,,,bell peppers,
african cuisine,black-eyed peas,2,,,,,,"peas, esp. black-eyed",
african cuisine,braised dishes,1,,,,,,braised dishes,
african cuisine,chicken,2,,,,,,chicken,
african cuisine,chile pepper,1,,,,,,"chile peppers, esp. west african",
african cuisine,"chile pepper, west african",2,,,,,,"chile peppers, esp. west african",
african cuisine,coconut,1,,,,,,coconuts,
african cuisine,corn,1,,,,,,corn,
african cuisine,fish,1,,,,,,"fish, esp. coastal",
african cuisine,"fish, coastal",2,,,,,,"fish, esp. coastal",
african cuisine,fruit,1,,,,,,"fruits, esp. tropical",
african cuisine,"fruit, tropical",2,,,,,,"fruits, esp. tropical",
african cuisine,garlic,1,,,,,,garlic,
african cuisine,goat,1,,,,,,goat,
african cuisine,greens,1,,,,,,"greens, esp. steamed or stewed",
african cuisine,"greens, steamed",2,,,,,,"greens, esp. steamed or stewed",
african cuisine,"greens, stewed",2,,,,,,"greens, esp. steamed or stewed",
african cuisine,mango,1,,,,,,mangoes,
african cuisine,melon,1,,,,,,melons,
african cuisine,okra,2,,,,,,okra,
african cuisine,onion,1,,,,,,onions,
african cuisine,papaya,1,,,,,,papayas,
african cuisine,peanuts,2,,,,,,peanuts,
african cuisine,peas,1,,,,,,"peas, esp. black-eyed",
african cuisine,plantain,1,,,,,,plantains,
african cuisine,soup,1,,,,,,soups,
african cuisine,stew,2,,,,,,"stews, esp. meat or vegetable",
african cuisine,"stew, meat",3,,,,,,"stews, esp. meat or vegetable",
african cuisine,"stew, vegetable",3,,,,,,"stews, esp. meat or vegetable",
african cuisine,sweet potato,1,,,,,,sweet potatoes,
african cuisine,tomato,1,,,,,,tomatoes,
african cuisine,watermelon,1,,,,,,watermelon,
african cuisine,yams,2,,,,,,"yams, esp. west african",
african cuisine,"yams, west african",3,,,,,,"yams, esp. west african",
african cuisine (north),bell pepper,1,,,,,,bell peppers,
african cuisine (north),braised dishes,1,,,,,,braised dishes,
african cuisine (north),chicken,1,,,,,,chicken,
african cuisine (north),chickpeas,1,,,,,,chickpeas,
african cuisine (north),couscous,1,,,,,,couscous,
african cuisine (north),cucumber,1,,,,,,cucumbers,
african cuisine (north),cumin,1,,,,,,cumin,
african cuisine (north),eggplant,1,,,,,,eggplant,
african cuisine (north),fish,1,,,,,,fish,
african cuisine (north),garlic,1,,,,,,garlic,
african cuisine (north),lamb,1,,,,,,lamb,
african cuisine (north),mint,1,,,,,,mint,
african cuisine (north),parsley,1,,,,,,parsley,
african cuisine (north),rice,1,,,,,,rice,
african cuisine (north),stew,1,,,,,,stewed dishes,
african cuisine (north),tomato,1,,,,,,tomatoes,
african cuisine (north),wheat,1,,,,,,wheat,
african cuisine (south),beans,1,,,,,,beans,
african cuisine (south),carrot,1,,,,,,carrots,
african cuisine (south),chile pepper,1,,,,,,chile peppers,
african cuisine (south),cinnamon,1,,,,,,cinnamon,
african cuisine (south),clove,1,,,,,,cloves,
african cuisine (south),fenugreek,1,,,,,,fenugreek,
african cuisine (south),garlic,1,,,,,,garlic,
african cuisine (south),ginger,1,,,,,,ginger,
african cuisine (south),lamb,1,,,,,,lamb,
african cuisine (south),onion,1,,,,,,onions,
african cuisine (south),peas,1,,,,,,peas,
african cuisine (south),pumpkin,1,,,,,,pumpkin,
