source,target,score
achiote seeds,beef,1
achiote seeds,chicken,1
achiote seeds,chiles,1
achiote seeds,fish,1
achiote seeds,garlic,1
achiote seeds,pork,2
achiote seeds,shrimp,1
afghan cuisine,almonds,1
afghan cuisine,barley,1
afghan cuisine,breads,2
afghan cuisine,cardamom,1
afghan cuisine,chile pepper,1
afghan cuisine,cinnamon,1
afghan cuisine,cloves,1
afghan cuisine,coriander,1
afghan cuisine,cucumber,1
afghan cuisine,cumin,1
afghan cuisine,dill,1
afghan cuisine,fennel,1
afghan cuisine,ginger,1
afghan cuisine,grapes,1
afghan cuisine,kebabs,1
afghan cuisine,lamb,1
afghan cuisine,mint,1
afghan cuisine,mushrooms,1
afghan cuisine,pasta,2
afghan cuisine,"rice, basmati",2
afghan cuisine,sesame,1
afghan cuisine,tomatoes and tomato sauce,1
afghan cuisine,turmeric,1
afghan cuisine,yogurt,2
african cuisine (south),beans,1
african cuisine (south),carrots,1
african cuisine (south),chile peppers,1
african cuisine (south),cinnamon,1
african cuisine (south),cloves,1
african cuisine (south),fenugreek,1
african cuisine (south),garlic,1
african cuisine (south),ginger,1
african cuisine (south),lamb,1
african cuisine (south),onions,1
african cuisine (south),peas,1
african cuisine (south),pumpkin,1
african cuisine (south),stews,1
african cuisine (south),tomatoes,1
african cuisine (south),turmeric,1
african cuisine (west),bananas,1
african cuisine (west),bell peppers,1
african cuisine (west),braised dishes,1
african cuisine (west),chicken,1
african cuisine (west),chile peppers,1
african cuisine (west),corn,1
african cuisine (west),goat,1
african cuisine (west),mangoes,1
african cuisine (west),okra,1
african cuisine (west),papayas,1
african cuisine (west),peanuts,1
african cuisine (west),plantains,1
african cuisine (west),rice,1
african cuisine (west),soups,1
african cuisine (west),stewed dishes,1
african cuisine (west),sweet potatoes,1
african cuisine (west),tomatoes,1
african cuisine (west),wheat,1
african cuisine (west),yams,1
allspice,apples,1
allspice,baked goods,1
allspice,beans,1
allspice,beets,1
allspice,cabbage,1
allspice,cakes,1
allspice,caribbean cuisine,1
allspice,carrots,1
allspice,chickpeas,1
allspice,chile peppers,1
allspice,cinnamon,1
allspice,cloves,1
allspice,cookies,1
allspice,coriander,1
allspice,curries and curry powder,2
allspice,eastern mediterranean cuisine,1
allspice,eggplant,1
allspice,english cuisine,1
allspice,"fruits, fruit compotes, and jams",2
allspice,garlic,1
allspice,ginger,2
allspice,goat,1
allspice,grains,1
allspice,ham,1
allspice,"herring, pickled",1
allspice,indian cuisine,1
allspice,ketchup,1
allspice,lamb,1
allspice,mace,1
allspice,mexican cuisine,1
allspice,middle eastern cuisine,1
allspice,mushrooms,1
allspice,mustard,1
allspice,north american cuisine,1
allspice,nutmeg,1
allspice,nuts,1
allspice,onions,1
allspice,"pepper, black",1
allspice,pies,1
allspice,pineapple,1
allspice,pork,1
allspice,pumpkin,3
allspice,rabbit,1
allspice,rice,1
allspice,rosemary,1
allspice,salsas and sauces,1
allspice,sauerkraut,1
allspice,sausages,1
allspice,soups,1
allspice,spiced cakes,1
allspice,spinach,1
allspice,"squash, winter",2
allspice,stews,1
allspice,"stocks and broths, chicken",1
allspice,sweet potatoes,1
allspice,thyme,1
allspice,tomatoes,1
allspice,turnips,1
allspice,west indies cuisine,1
almonds,botanical relatives peaches,2
almonds,amaretto,1
almonds,apples,1
almonds,apricots,2
almonds,beans,1
almonds,blackberries,1
almonds,brandy,1
almonds,"butter, unsalted",3
almonds,butterscotch,1
almonds,caramel,2
almonds,cardamom,1
almonds,cayenne,1
almonds,cheese goat,1
almonds,cheese manchego,1
almonds,cheese ricotta,1
almonds,chicken,1
almonds,chocolate dark,3
almonds,chocolate milk,3
almonds,"chocolate, white",1
almonds,cinnamon,1
almonds,coconut,2
almonds,coffee,2
almonds,cornmeal,1
almonds,corn syrup,1
almonds,crab,1
almonds,cranberries,1
almonds,cream,3
almonds,cream cheese,1
almonds,crème fraîche,1
almonds,crust pastry,1
almonds,crust pie,1
almonds,currants,1
almonds,figs,2
almonds,fish,1
almonds,french pastries,1
almonds,"fruits, most",1
almonds,garlic,1
almonds,grapes,1
almonds,greek cuisine,1
almonds,"greens, salad",1
almonds,hazelnuts,2
almonds,honey,3
almonds,ice cream,1
almonds,indian cuisine,1
almonds,italian sauces,1
almonds,lamb,1
almonds,lavender,1
almonds,lemon juice,2
almonds,lemon zest,2
almonds,"liqueurs, fruit (including orange)",1
almonds,mascarpone,1
almonds,mediterranean cuisine,1
almonds,mexican beverages and mole sauces,1
almonds,"milk, sweetened condensed",1
almonds,molasses,1
almonds,moroccan cuisine,1
almonds,nectarines,1
almonds,oats,1
almonds,olive oil,2
almonds,olives,1
almonds,orange juice,2
almonds,orange zest,2
almonds,paprika,1
almonds,passion fruit,1
almonds,peaches,1
almonds,pears,1
almonds,pecans,1
almonds,"pepper, ground",1
almonds,pine nuts,1
almonds,plums,1
almonds,praline,1
almonds,prunes,1
almonds,quince,1
almonds,raspberries,1
almonds,rhubarb,1
almonds,rice,1
almonds,rosemary,1
almonds,rum,1
almonds,salt kosher,2
almonds,salt sea,2
almonds,shellfish,1
almonds,sherry,1
almonds,strawberries,1
almonds,sugar brown,2
almonds,sugar white,2
almonds,tea,1
almonds,turkish cuisine,1
almonds,vanilla,3
almonds,walnuts,1
anchovies,almonds,2
anchovies,basil,1
anchovies,"beans, green",1
anchovies,capers,2
anchovies,carrots,1
anchovies,cauliflower,1
anchovies,celery,1
anchovies,cheese manchego,2
anchovies,cheese mozzarella,2
anchovies,cheese parmesan,2
anchovies,chives,1
anchovies,"eggs, hard-boiled",2
anchovies,fennel,1
anchovies,garlic,3
anchovies,"lemon, juice",2
anchovies,lobster,1
anchovies,mayonnaise,2
anchovies,mediterranean cuisine,1
anchovies,nectarines,1
anchovies,olive oil,3
anchovies,onions,1
anchovies,"orange, zest",1
anchovies,"parsley, flat-leaf",2
anchovies,pasta,2
anchovies,pepper black,2
anchovies,pepper white,2
anchovies,"peppers, piquillo",1
anchovies,pizza,1
anchovies,potatoes,1
anchovies,puttanesca sauce (key ingredient),1
anchovies,red pepper flakes,1
anchovies,romaine lettuce,1
anchovies,rosemary,1
anchovies,salmon,1
anchovies,salt kosher,2
anchovies,salt sea,2
anchovies,shallots,1
anchovies,"sherry, px",3
anchovies,tapenade (key ingredient),1
anchovies,thyme,1
anchovies,tomatoes,1
anchovies,tuna,1
anchovies,vinegar champagne,2
anchovies,vinegar red wine,2
anchovies,vinegar sherry,2
angelica,almonds,2
angelica,anise,1
angelica,apricots,2
angelica,candy,1
angelica,cream and ice cream,2
angelica,custards,1
angelica,desserts,2
angelica,fish,1
angelica,fruits,1
angelica,ginger fresh,2
angelica,ginger candied,2
angelica,hazelnuts,1
angelica,juniper berries,1
angelica,lavender,2
angelica,lemon balm,1
angelica,liqueurs,1
angelica,mushrooms,1
angelica,nutmeg,1
angelica,oranges,2
angelica,"pepper, black",1
angelica,plums,2
angelica,rhubarb,4
angelica,salads,1
angelica,shellfish,1
angelica,strawberries,2
anise hyssop,apricots,1
anise hyssop,basil,1
anise hyssop,"beans, green",1
anise hyssop,beets,1
anise hyssop,beverages,2
anise hyssop,carrots,2
anise hyssop,cherries,1
anise hyssop,chervil,1
anise hyssop,chicken,1
anise hyssop,cream and ice cream,1
anise hyssop,currants,1
anise hyssop,custards,1
anise hyssop,desserts,1
anise hyssop,fennel bulb,1
anise hyssop,fish,1
anise hyssop,honey,2
anise hyssop,lavender,1
anise hyssop,lemon,1
anise hyssop,lychees,1
anise hyssop,marjoram,1
anise hyssop,melons,2
anise hyssop,mint,1
anise hyssop,nectarines,1
anise hyssop,oranges,1
anise hyssop,parsley,1
anise hyssop,parsnips,1
anise hyssop,peaches,2
anise hyssop,pears,1
anise hyssop,plums,1
anise hyssop,pork,1
anise hyssop,raspberries,2
anise hyssop,rice,1
anise hyssop,salads fruit,2
anise hyssop,salads green,2
anise hyssop,shrimp,1
anise hyssop,spinach,1
anise hyssop,"squash, winter",1
anise hyssop,sweet potatoes,1
anise hyssop,tarragon,1
anise hyssop,teas,2
anise hyssop,tomatoes,1
anise hyssop,"vegetables, root",1
anise hyssop,watermelon,1
anise hyssop,zucchini,1
"anise, star",allspice,1
"anise, star",beef,1
"anise, star",beverages,1
"anise, star",cardamom,1
"anise, star",chestnuts,1
"anise, star",chicken,1
"anise, star",chile peppers,1
"anise, star",chili powder,1
"anise, star",chinese cuisine,3
"anise, star",cinnamon,2
"anise, star",citrus zest,1
"anise, star",cloves,1
"anise, star",coriander,1
"anise, star",cumin,1
"anise, star",curry powder (ingredient),1
"anise, star",duck,2
"anise, star",eggs,1
"anise, star",fennel seeds,1
"anise, star",figs,1
"anise, star",fish,2
"anise, star",five-spice powder,3
"anise, star",garlic,1
"anise, star",ginger,2
"anise, star",indian cuisine,1
"anise, star",kumquats,1
"anise, star",leeks,1
"anise, star",lemongrass,1
"anise, star","lime, zest",1
"anise, star",liqueurs,1
"anise, star",mace,1
"anise, star",malaysian cuisine,1
"anise, star",mangoes,1
"anise, star",maple syrup,1
"anise, star",nutmeg,1
"anise, star","orange, zest",1
"anise, star",oxtails,1
"anise, star",pepper black,1
"anise, star",pepper szechuan,1
"anise, star",pineapple,1
"anise, star",pork,2
"anise, star",poultry,1
"anise, star",pumpkin,1
"anise, star",raspberries,1
"anise, star",root vegetables,1
"anise, star",salmon,1
